# Server version 0.08 running on 192.168.1.6:8123
# Game ID: 180
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 3000
# First Move Timeout: 30000
# Date: Sat Mar 25 00:35:01 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 192.168.1.6
# Player 2: Player-1, '260567881', running on 192.168.1.6
START Player-0 GreedyPlayer
START Player-1 260567881
PIT 0 0
PIT 0 1
PIT 1 3
PIT 0 5
PIT 0 2
PIT 1 2
PIT 0 3
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 0
PIT 1 5
PIT 0 1
PIT 1 2
PIT 0 3
PIT 1 4
PIT 0 4
PIT 1 3
PIT 0 3
PIT 1 0
PIT 0 2
PIT 1 5
PIT 0 1
PIT 1 4
PIT 0 0
PIT 1 0
PIT 1 1
PIT 1 2
GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36
# Game ended: Sat Mar 25 00:35:11 EDT 2017
