# Server version 0.08 running on 192.168.1.6:8123
# Game ID: 50
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Thu Mar 23 17:57:03 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on 192.168.1.6
# Player 2: Player-1, '260567881', running on 192.168.1.6
START Player-0 RandomPlayer
START Player-1 260567881
PIT 0 0
PIT 0 4
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 3
PIT 1 2
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 0
PIT 1 1
PIT 0 2
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 5
PIT 1 0
PIT 0 4
PIT 1 0
PIT 0 1
PIT 1 2
PIT 0 4
PIT 0 2
PIT 1 3
PIT 0 5
PIT 1 2
PIT 0 3
PIT 1 5
PIT 0 5
PIT 1 2
PIT 0 4
PIT 1 1
PIT 0 5
PIT 1 4
PIT 0 1
PIT 1 1
PIT 0 5
PIT 1 3
PIT 0 2
PIT 1 1
PIT 0 5
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 5
PIT 1 0
PIT 0 5
PIT 1 5
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 1
PIT 1 0
PIT 0 4
PIT 1 0
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 0
GAMEOVER WINNER 1         Player-0 score: 24  Player-1 score: 48
# Game ended: Thu Mar 23 17:57:03 EDT 2017
