# Server version 0.08 running on 192.168.1.6:8123
# Game ID: 714
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 3000
# First Move Timeout: 30000
# Date: Sun Apr 02 16:42:38 EDT 2017
# Player 1: Player-0, 'mcmcmcmcm', running on localhost
# Player 2: Player-1, '260567881', running on 192.168.1.6
START Player-0 mcmcmcmcm
START Player-1 260567881
PIT 0 1
PIT 1 3
PIT 0 0
PIT 1 2
PIT 0 5
PIT 1 3
PIT 1 4
PIT 0 4
PIT 1 3
PIT 1 5
PIT 0 4
PIT 1 1
PIT 0 4
PIT 1 1
PIT 0 1
PIT 0 0
PIT 0 2
PIT 1 3
PIT 0 2
PIT 1 2
PIT 0 1
PIT 1 1
PIT 0 2
PIT 1 3
PIT 0 3
PIT 1 2
PIT 0 1
PIT 1 3
PIT 0 5
PIT 1 0
PIT 0 4
GAMEOVER WINNER 0         Player-0 score: 40  Player-1 score: 32
# Game ended: Sun Apr 02 16:43:00 EDT 2017
